Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
GX 21225,565,Magdalena medio,Los Achiles,,Cacicazgos,"Cavelier, et al 1995",Agroforesteria y caciques en selvas húmedas Andinas: arqueología del río La Miel.,,,,1385,115,,,,,,Información Erigaie,FALSE,FALSE
GX 21308,2000,Magdalena medio,Ciénaga del Tigre I,,Cacicazgos,Gómez &  Correcha 1995,Diversidad cultural en el Magdalena Medio: grupos acerámicos y agroalfareros. Excavación y rescate arqueológico gasoducto centro oriente km.4 al 21 Barrancabermeja (Santander).,,,,-50,95,,,,,,Información Erigaie,FALSE,FALSE
GX 21309,1810,Magdalena medio,Ciénaga del Tigre I,,Cacicazgos,Gómez &  Correcha 1995,Diversidad cultural en el Magdalena Medio: grupos acerámicos y agroalfareros. Excavación y rescate arqueológico gasoducto centro oriente km.4 al 21 Barrancabermeja (Santander).,,,,140,90,,,,,,,TRUE,FALSE
GX 21310,1260,Magdalena medio,Pipintá,,Cacicazgos,"Gómez & Correcha, 1995",Diversidad cultural en el Magdalena Medio: grupos acerámicos y agroalfareros. Excavación y rescate arqueológico gasoducto centro oriente km.4 al 21 Barrancabermeja (Santander).,X,C-14,Carbón,690,120,,20-25 cm,Basurero,,,,FALSE,FALSE
GX 21311,1280,Magdalena medio,Pipintá,,Cacicazgos,Gómez 1995,Diversidad cultural en el Magdalena Medio. Grupos acerámicos y agroalfareros.,X,C-14,Carbón,670,50,,30-38 cm,,,,,FALSE,FALSE
GX 22264,490,,El Pollo,,Cacicazgos,Rodríguez & Montejo 1996,Antiguos pobladores y labranzas en el valle del río Otún.,,,,1460,105,,,,,,Información Erigaie,FALSE,FALSE
GX 22265,975,,El Pollo,,Cacicazgos,Rodríguez & Montejo 1996,Antiguos pobladores y labranzas en el valle del río Otún.,,,,975,110,,,,,,Información Erigaie,FALSE,FALSE
GX 22266,835,,Romelia 100,,Cacicazgos,Rodríguez  &. Montejo 1996,Antiguos pobladores y labranzas en el valle del río Otún.,,,,1115,115,,,,,,Información Eriagie.,FALSE,FALSE
GX 9883,1965,Ecuador,La Tolita,,Cacicazgos,"Valdez, 1987",Proyecto Arqueológico La Tolita,51,C-14,Carbón,-15,170,Piso quemado,,,Montículo,,Tola Pajarito.,FALSE,FALSE
GX 9884,1940,Ecuador,La Tolita,,Cacicazgos,"Valdez, 1987",Proyecto Arqueológico La Tolita,51,C-14,Carbón,10,170,Piso bajo,,,Montículo,,Tola Pajarito.,FALSE,FALSE
HV 7338,715,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Vélez,,Cacicazgos,"Bray, et al. 1983",Report on the 1981 field season in Calima.,25,C-14,Carbón,1235,45,,,Tumba,,Sonso,Dtación para un entierro con sarcofágo en madera.  Tumba B,FALSE,FALSE
I 1123,4515,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Puerto Hormiga,2552,Formativo,"Reichel-Dolmatoff, 1965",Excavaciones arqueológicas en Puerto Hormiga (Departamento de Bolivar),46,C-14,Carbón,-2565,250,Estrato 3,70,,Conchero,Puerto Hormiga,"El contexto del sitio es discutido en Archila (1991) y Oyuela (1993). Oyuela y Rodríguez, 1995:115 la tienen como 4502.",FALSE,FALSE
I 1409,1525,Alto Magdalena,Mesita B,,Cacicazgos,"Duque, 1964",Exploraciones Arqueológicas en San Agustín,"317, 456",C-14,Carbón,425,150,,,Tumba,,Mesitas temprano,"Reichel-Dolmatoff 1965:94.  Ver también  Drennan 1993: 98. Ultima fecha Mesitas temprano prinera Mesitas Medio, Según Reichel. Se caracteriza por ataudes de madera, escultura en madera, aparición de la metalurgia, ropa de cortesa y agricultura de Maíz y raíces. Copas pedestal, platos, vasijas globulares, trípodes, alcarrazas, decoración incisa, pintura monocroma y policroma, pintura negativa",FALSE,FALSE
I 1953,1305,Altiplano Cundiboyacense,Guatavita,,Cacicazgos,"Falchetti, 1979; Reichel-Dolmatoff 1986:178","Colgantes ""Darien"" relaciones entre áreas orfebres del occidente colombiano y centroamérica.",31,,,645,95,,,,,,Carbón tomado del núcleo de un colgante en Tumbaga,FALSE,FALSE
I 2309,540,Alto Magdalena,Mesita,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,1410,110,,40-60,,,Sombrerillos,,FALSE,FALSE
I 2310,320,Alto Magdalena,Mesita,,Colonial,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,1630,90,,30,,,Sombrerillos,,FALSE,FALSE
I 2312,1840,Alto Magdalena,Mesita,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,110,110,,100,,,Isnos temprano,,FALSE,FALSE
I 2313,1900,Alto Magdalena,Mesita,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,50,140,,200,,,Isnos temprano,,FALSE,FALSE
I 2314,1850,Alto Magdalena,Mesita,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,100,100,,300,,,Isnos temprano,,FALSE,FALSE
I 2315,1910,Alto Magdalena,Mesita,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,40,110,,300-400,,,Isnos temprano,Ver ficha Reichel 1975 (1),TRUE,FALSE
I 2316,1620,Alto Magdalena,Alto de los Idolos,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,330,100,,100,,,Isnos tardio,,FALSE,FALSE
I 2317,1810,Alto Magdalena,Alto de los Idolos,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,,,140,100,,180,,,Isnos tardio,"Fecha asociada con dos pequeños fragmentos oro, aparentemente restos de fundición (:121) y maíz carbonizado ",FALSE,FALSE
I 2318,1930,Alto Magdalena,Alto de los Idolos,,Cacicazgos,"Reichel-Dolmatoff, 1972",Contribuciones al conocimiento de la estratigrafía cerámica de San Agustin,148,C-14,Carbón,20,120,,450,,,Primavera,,FALSE,FALSE
I 2362,990,Altiplano Cundiboyacense,Santo Domingo Buenavista,,Cacicazgos,"Falchett, 1979; Reichel-Dolmatoff 1986:178","Colgantes ""Darien"" relaciones entre áreas orfebres del occidente colombiano y centroamérica.",31,C-14,,960,60,,,,,Muisca,"Nariguera de Tumbaga asociada La misma fecha aparece en Lleras,1989:52, sacado de PLazas 1975, con un variación de 90 y sitio Buenavista",TRUE,FALSE
I 445,4875,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Puerto Hormiga,,Formativo,"Reichel-Dolmatoff, 1965",Excavaciones arqueológicas en Puerto Hormiga (Departamento de Bolivar),53,C-14,Conchas,-2925,170,Estrato 3,100,,Conchero,,"Comentada por Rodríguez (1988), Archila (1991) y Oyuela (1993). Corte I",FALSE,FALSE
I 5773,735,Tierras bajas orientales,Santa Sofia,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,1215,90,,,Habitación,,"Complejo Zebu, policromo",TRA 14,FALSE,FALSE
I 5774,760,Tierras bajas orientales,Loreto Yacú,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,1190,90,,,Habitación,,,TRA 11,FALSE,FALSE
I 5775,910,Tierras bajas orientales,Santa Sofia,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,1040,90,,,,,Barrancoide,Asociada a una variante de la tradición Barrancoide. TRA 15,FALSE,FALSE
I 5776,920,Tierras bajas orientales,Santa Sofia,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,1030,90,,,Habitación,,"Complejo Zebu, Policromo",TRA 14,FALSE,FALSE
I 5777,685,Tierras bajas orientales,Santa Sofía,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,1265,90,,,,,,TRA 14,FALSE,FALSE
I 5778,1025,Tierras bajas orientales,Loreto Yacú,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,,,925,,,,,,,Sitio 11,FALSE,FALSE
I 6008,1790,Tierras bajas orientales,Loreto Yacú,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",3,C-14,Carbón,160,105,,,,,,Tiestos desgrasante vegetal. Sitio 11,FALSE,FALSE
I 6072,1335,Tierras bajas orientales,Loreto Yacú,,Cacicazgos,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",5,C-14,Carbón,615,125,,,,,,Sitio 11,FALSE,FALSE
I 6083,2560,Tierras bajas orientales,Loreto Yacú,,Formativo,"Bolian, 1972","An archaeological survey of the Trapecio of Amazonas, Colombia.",B,C-14,Carbón,-700,130,,,Habitación,,,"Revisar fecha de Bolian. , TRA 11",TRUE,FALSE
I 6362,495,Altiplano Cundiboyacense,El Abra,,Cacicazgos,Correal; Van Der Hammen & Hurt 1977,"La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,1455,104,E1,45,Tumba,,Muisca,"Ver Hurt (1967-69), Hurt et al. (1976). Abrigo 3 Tumba 2",FALSE,FALSE
I 6362(d) ?,505,Altiplano Cundiboyacense,El Abra,,Cacicazgos,"Hurt, et al. 1976","Ecology and technology of El Abra rockshelters, Sabana de Bogotá, Colombia.",X,,,1445,104,,,,Abrigo rocoso,Muisca,"En Hurt 1967-1969 el mismo No. de laboratorio tiene otras fechas ""parecidas""... Estan registradas arriba también como I 6362. Deje este x si acaso pero NO tiene fuente",TRUE,FALSE
I 6363,9050,Altiplano Cundiboyacense,El Abra,,Paleoindio,Correal; Van Der Hammen & Hurt 1977,"La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,-7100,470,D2A,94,Abrigo rocoso,Abrigo rocoso,,"Ver Hurt (1967-69), Hurt et al. (1976).  Abrigo 3. Pinto, 2003:47. Allí aparece como El Abra IV.",FALSE,FALSE
I 8428,1020,Alto Magdalena,Alto del Lavapatas,,Cacicazgos,"Duque, & Cubillos, 1988",Arqueología de San Agustín. Alto de Lavapatas.,106,C-14,Carbón,930,80,,140,Tumba,,,Urna funeraria,FALSE,FALSE
IAN ?,1320,Alto Magdalena,Santa Rosa,,Cacicazgos,"Chaves & Puerta, 1978; Chaves 1991:31",Excavaciones arqueológicas en Tierradentro y la hoya del río de la Plata.,X,C-14,Carbón,630,80,,,Tumba,,,En Chaves y Puerta (1980) aparece con un error de 82 y No lab. IAN incompleto. Entierro primario.,TRUE,FALSE
IAN ??,1100,Alto Magdalena,El Aguacate,,Cacicazgos,"Chaves, & Puerta, 1986; Chaves 1991:31",Monumentos arqueológicos de Tierradentro,160,C-14,Hueso,850,220,,,Tumba,,,En Chaves y Puerta (1986:121) la desviación estándar es de 200 y el N° de lab. IAN está incompleto. Tumba 3. Ver reseña de Urdaneta (1988).,TRUE,FALSE
IAN 10,1780,Altiplano Cundiboyacense,Simijaca,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,212,C-14,,170,80,,,,,,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
IAN 11,950,Altiplano Cundiboyacense,Buenavista,,Cacicazgos,"Botiva, 1989 cita a E. Silva",La altiplanicie Cundiboyacense.,114,C-14,,1000,120,,,,,Muisca,"Botiva (1989: 114) cita a Silva sin referencia bibliográfica,",FALSE,FALSE
IAN 112,875,Costa Pacífica,Inguapí,,Cacicazgos,"Bouchard, 1983","Excavaciones arqueológicas en la región de Tumaco, Nariño, Colombia.",330,C-14,Carbón,1075,80,,,,,,,FALSE,FALSE
IAN 113,1800,Tierras bajas orientales,Araracuara 15,,Cacicazgos,"Herrera, et al. 1980-1981","Datos sobre la arqueología de Araracuara (Comisaria del Amazonas, Colombia).","201, 246",C-14,Carbón,150,85,A3,,Basurero,,Camani,Ver crítica sobre la secuencia Camani-Nofurei en Cavelier et al. (1987); Cavelier et al. (1991) y Urrego et al. (1995).,FALSE,FALSE
IAN 115,1530,"Uraba, alto Sinú",El Estorbo I,,Cacicazgos,"Méndez, 1980",Hallazgos de elementos arcaicos durante una labor de salvamento.,54,C-14,,420,130,,,Tumba,,,Mendez dice que salieron -115 y 116- de Botiva & Santos 1978. Boletín 1 abril 6. Las coloca como un pie de página.,TRUE,FALSE
IAN 116,1670,"Uraba, alto Sinú",El Estorbo I,,Cacicazgos,"Méndez, 1980",Hallazgos de elementos arcaicos durante una labor de salvamento.,54,C-14,,280,170,155,,,,,Mendez dice que salieron -115 y 116- de Botiva & Santos 1978. Boletín 1 abril 6. Las coloca como un pie de página.; Santos 1986; 1989; Archila 1993;,TRUE,FALSE
IAN 117,315,Sierra Nevada,Buritaca 200,,Colonial,"Groot, 1985",Arqueología y conservación de la localidad precolombina de Buritaca 200 en la Sierra Nevada de Santa Marta (1976-1977),83,C-14,Carbón,1635,170,,,Basurero,,Tairona,Terraza 23,FALSE,FALSE
IAN 118,400,Sierra Nevada,Buritaca 200,,Cacicazgos,"Groot, 1985",Arqueología y conservación de la localidad precolombina de Buritaca 200 en la Sierra Nevada de Santa Marta (1976-1977),83,C-14,Carbón,1550,50,,,Basurero,,Tairona,Terraza 23,FALSE,FALSE
IAN 119,2490,Altiplano Cundiboyacense,El Infiernito,,Formativo,"Silva, 1981",Investigaciones arqueológicas en Villa de Leyva.,12,C-14,Carbón,-540,195,3,,,,,"La fecha salio del campo sagrado del norte. Descarta por Langebaeck, 1995:188 por falta de información que permita crear asociaciones.",FALSE,FALSE
IAN 12,500,Altiplano Cundiboyacense,Guatavita,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,212,C-14,,450,90,,,,,Muisca?,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
IAN 121,2450,Altiplano Cundiboyacense,Zipaquirá V,,Cacicazgos,"Cardale, 1981",Las salinas de Zipaquirá: su explotación indígena.,57,C-14,Carbón,-500,200,,120,,,,Cardale(1981: 57) no la considera confiable.,TRUE,FALSE
IAN 124,645,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Las Palmas 1,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,62,C-14,Carbón,1305,170,,15,Basurero,,,Cerámica Incisa alisada. Ver Plazas & Falchetti (1981). Palmas 1(2),FALSE,FALSE
IAN 126,3070,Valles alto Calima y alto y medio del Cauca,La Balsa,,Formativo,"Méndez, 1980",Hallazgos de elementos arcaicos durante una labor de salvamento.,55,C-14,,-1120,150,,0-40,,,,Tr1-Sb1,FALSE,FALSE
IAN 127,2550,Valles alto Calima y alto y medio del Cauca,La Balsa,,Formativo,"Méndez, 1980",Hallazgos de elementos arcaicos durante una labor de salvamento.,55,C-14,Carbón,-600,160,,0-40,,,,P1-Sb1,FALSE,FALSE
IAN 128,2180,Altiplano Cundiboyacense,El Infiernito,,Cacicazgos,"Silva, 1981",Investigaciones arqueológicas en Villa de Leyva.,12-13,C-14,Carbón,-230,140,,,,,,La cronología  no es apoyada por LLeras 1988. La fecha sale del campo sagrado del norte. Descartada por Langebaeck por falta de información clara sobre las asociaciones de esta fecha. Posteriormente Silva anota que se asocia con maíz; igualmente difícil de aceptar por la falta de datos.,FALSE,FALSE
IAN 134,2175,"Uraba, alto Sinú",El Estorbo I,,Cacicazgos,Santos 1986,Asentamientos pre-hispánicos en la región del golfo de Urabá y su desarrollo hasta la época de la conquista.,,,,-225,110,,,,,,Información Eriagie.,TRUE,FALSE
IAN 135,2300,"Uraba, alto Sinú",El Estorbo I,,Cacicazgos,Santos 1986,Asentamientos pre-hispánicos en la región del golfo de Urabá y su desarrollo hasta la época de la conquista.,,,,-350,95,,,,,,Información Eriagie.,TRUE,FALSE
IAN 148,2880,Altiplano Cundiboyacense,El Infiernito,,Formativo,"Silva, 1981",Investigaciones arqueológicas en Villa de Leyva.,12-13,C-14,Carbón,-930,95,5,,,,,"La fecha salió del campo sagrado del sur. Para Langebaek, 1995:188 la fecha fue descartada por no poseer ninguna utilidad para fechar un contexto.",FALSE,FALSE
IAN 23,920,Macizo Andino del sur,Miraflores 1,,Cacicazgos,"Perdomo, et al. 1974",Estudio preliminar sobre la zona arqueológica de Pupiales (Nariño).,171,C-14,Carbón,1030,110,,175,Tumba,,Piartal,Tumba 3. Discusión de la periodización en Cárdenas (1989;1992;1995;1996:52)  Doyon (1995) Uribe 1992:9. En el catalogo de Eriagie aparece como de Pupiales.,FALSE,FALSE
IAN 24,870,Macizo Andino del sur,Miraflores 1,3014,Cacicazgos,"Perdomo, et al. 1974",Estudio preliminar sobre la zona arqueológica de Pupiales (Nariño).,171,C-14,Carbón,1180,120,,150,,,Piartal,Trinchera. Asociado a material óseo pero no cerámico. Discusión de la periodización en Cárdenas (1989;1992;1996:42) y Doyon (1995). Uribe (1992:9).,FALSE,FALSE
IAN 31,900,Altiplano Cundiboyacense,Guasca,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,212,C-14,,1050,120,,,,,Muisca,Sitio 35,TRUE,FALSE
IAN 34,830,Macizo Andino del sur,El Tambo,,Cacicazgos,"Uribe, 1978; 1992:9","Asentamientos prehispánicos en el altiplano de Ipiales, Colombia.",167,C-14,Textil,1120,140,,,Tumba,,Piartal,"Asociado a oro MO 21520 a MO 21585. Ver Cortes, 1987:100 sobre textiles. Cárdenas,1992:69;  1996:52; Plazas 1987:200",FALSE,FALSE
IAN 36,1200,Altiplano Cundiboyacense,Fúquene,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,212,C-14,,750,100,,,,,Muisca?,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
IAN 38,1865,Alto Magdalena,Alto del Lavapatas,,Cacicazgos,"Duque, & Cubillos, 1988;104",Arqueología de San Agustín. Alto de Lavapatas.,104,C-14,Carbón,85,115,Estrato II,75,Habitación,,, ,FALSE,FALSE
IAN 39,5250,Alto Magdalena,Alto del Lavapatas,,Formativo,"Duque, & Cubillos, 1988;104",Arqueología de San Agustín. Alto de Lavapatas.,104,C-14,Carbón,-3300,120,,110,Basurero,,,,FALSE,FALSE
IAN 42,1150,Altiplano Cundiboyacense,Guasca,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,212,C-14,Carbón,800,80,,,,,Muisca,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
IAN 44,445,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 1,,Cacicazgos,"Falchetti, 1976","The goldwork of the Sinú region, northern Colombia.",X,C-14,Madera,1505,80,,,Tumba,,,"El objeto de madera, además de piezas de oro, fueron adquiridos a un guaquero por el Museo del Oro (Groot 1989: 47).",FALSE,FALSE
IAN 47,767,Tierras bajas orientales,Caño Bombay,1000,Cacicazgos,"Giraldo, 1988",Investigación arqueológica en los Llanos  Orientales. Región de Cravo-Norte (Arauca).,11,C-14,Carbón,1183,85,,,,,,"Discutida en Mora (1985, 1989).",FALSE,FALSE
IAN 50,1105,Macizo Andino del sur,Miraflores 1,,Cacicazgos,"Plazas, 1977-78, cita a Joaquín Parra","Orfebrería prehistórica del altiplano nariñense, Colombia.","200, 208",C-14,Pelo,845,80,,,Tumba,,Piartal,"Tumba 6. Asociada a oro MO 16631 a MO 16636. Se fechó pelo humano. En Uribe (1992: 9) aparece como 745 D. C.. Cárdenas, 1996:52",FALSE,FALSE
IAN 51,540,Macizo Andino del sur,La Esperanza,,Cacicazgos,Groot 1991,Intento de delimitación del territorio de los grupos étnicos Pastos y Quillacingas en el altiplano nariñense.,X,C-14,Carbón,1410,80,,,,,Tuza,"Cárdenas (1992;1996:52). Uribe, 1992:9.",TRUE,FALSE
IAN 61,1500,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 1,,Cacicazgos,"Plazas, et al. 1979",Investigaciones arqueológicas en el río San Jorge,1,C-14,Carbón,450,90,,,Tumba,,,Entierro 3,FALSE,FALSE
IAN 67,870,Macizo Andino del sur,Las Cruces,,Cacicazgos,"Uribe, 1978; 1992:9","Asentamientos prehispánicos en el altiplano de Ipiales, Colombia","135,167",C-14,Carbón,1080,115,,,,,Capulí,"Detalles del sitio en Plazas (1977-78) y (Uribe 1976, 1977-78). Ver crítica en Salgado et al. (1995) y sobre la secuencia Capulí-Piartal-Tuza ver Cárdenas (1989, 1992) y Doyon (1993). Entierro 2. Uribe 1992:9 es 1100+115. Cárdenas,1996:52 -1100 d.C.",TRUE,FALSE
IAN 81,2300,Altiplano Cundiboyacense,Zipaquira,,Cacicazgos,"Cardale, 1981",Las salinas de Zipaquira: su explotación indígena.,57,C-14,Carbón,-350,275,Estrato 5,55,,,,"Referencias anteriores (Cardale, 1976: 417). Cardale(1981: 57) no la considera confiable.",TRUE,FALSE
IAN 86,590,Sierra Nevada,Buritaca 200,,Cacicazgos,"Herrera, 1980",Buritica 200: estudio de polen arqueológico.,9,C-14,Carbón,1360,160,,50,Habitación,,Tairona,Otros detalles en Lleras (1985).,FALSE,FALSE
IAN 89,960,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Cecilio,,Cacicazgos,"Angulo, 1978",Arqueología de la Ciénaga Grande de Santa Marta.,165,C-14,Carbón,990,375,,,,Conchero,,"Complejo lacustre de Pajal, con cerámica crema ( Valdes, 1978:143). Ver comentarios de Archila (1991). Oyuela & Rodríguez (1995:115).",FALSE,FALSE
IAN 90,1615,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Los Jagueyes,,Cacicazgos,"Oyuela, & Rodríguez, 1995",La formación de los concheros: el caso de noroccidente de América del Sur.,115,C-14,Carbón,335,100,,,,,,,FALSE,FALSE
IAN 98,510,Macizo Andino del sur,La Victoria,,Cacicazgos,"Uribe, 1978; 1992:9;","Asentamientos prehispánicos en el altiplano de Ipiales, Colombia.",167,C-14,,1440,60,,,,,Capulí,"Cárdenas,1992:69;1996:52, en este último aparece como 1460 referencia !!!",TRUE,FALSE
IAR-H5,1385,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Malambo,,Cacicazgos,"Angulo, 1988",Guájaro en la arqueología del norte de Colombia,129,,,565,,,,,,,,FALSE,FALSE
IRPA 812,2080,Ecuador,Jardin del Este,,Cacicazgos,"Buys & Dominguez, 1989","Excavaciones arqueológicas en Cumbaya, provincia de Pichincha, Ecuador",92,C-14,Carbón,-130,65,Rasgo 17,,,,Desarrollos Regionales,,FALSE,FALSE
IVIC 158,530,Altiplano Cundiboyacense,Bojacá,,Cacicazgos,"Reichel-Dolmatoff, 1986",Arqueología de Colombia: un texto introductorio.,175,C-14,,1420,,,,,,Muisca,,FALSE,FALSE
IVIC 159,765,Montaña Santandereana,Los Santos,,Cacicazgos,"Sutherland, 1971","Preliminary Investigations into the Prehistory of Santander, Colombia",244,C-14,Textil,1185,85,,,,Cueva,Muisca/Guane,"Se dató una muestra de un textil (manta) hallado en una ""cueva funeraria"" (Reichel-Dolmatoff 1970 en Sutherland 1971: 244). Debe ser la misma que Reichel (1986: 176) cita como 1195 DC, sin N°. de Lab. ni desviación estándar.",TRUE,FALSE
IVIC 160,715,Valles alto Calima y alto y medio del Cauca,Varsovia,,Cacicazgos,"Bray, & Moseley 1970",Tres estilos alfareros sucesivos en Buga (Cauca).,216,C-14,Madera,1235,60,,,Tumba,,Sonso,"La madera datada provino de un ""batea esculpida"" que fue ""descubierta por un campesino""  en una tumba (cfr. Bray y Moseley 1976: 76).",FALSE,FALSE
IVIC 559,630,Montaña Santandereana,Guapotá,,Cacicazgos,"Sutherland, 1971","Preliminary Investigations into the Prehistory of Santander, Colombia",110,C-14,Carbón,1320,70,,150,Tumba,,Guane,"Muestra tomada del relleno hallado en varias tumbas. La asociación entre la muestra y la construcción-uso de las tumbas no es clara. ""Necróopolis Alto"" S-Gua-2",FALSE,FALSE
IVIC 560,780,Montaña Santandereana,Oiba San Lorenzo,,Cacicazgos,"Sutherland, 1971","Preliminary Investigations into the Prehistory of Santander, Colombia",173,C-14,Carbón,1170,60,,,Tumba,,Guane,Muestra tomada del relleno de varias tumbas. La asociación entre la muestra y la construcción-uso de las tumbas no es clara. Tumba 3,FALSE,FALSE
IVIC 596,710,Valles alto Calima y alto y medio del Cauca,Moralba,,Cacicazgos,"Bray, & Moseley 1970",Tres estilos alfareros sucesivos en Buga (Cauca).,216,C-14,Carbón,1240,60,Nivel 6,,,,Sonso,Más detalles en Bray y Moseley (1976).  Trinchera 2,FALSE,FALSE
IVIC 597,2840,Valles alto Calima y alto y medio del Cauca,Moralba,,Formativo,"Bray, & Moseley 1970",Tres estilos alfareros sucesivos en Buga (Cauca).,213,C-14,Carbón,-890,270,Nivel 8,,,,Yotoco,Datación descartada por estar en desacuerdo con IVIC 598 y GrN 4694 que datarían el mismo material cerámico (Bray y Moseley 1976: 74; Sampsom et al. 1976: 80).  Trinchera 2,TRUE,FALSE
IVIC 598,850,Valles alto Calima y alto y medio del Cauca,Barca de Yotoco,,Cacicazgos,"Bray, & Moseley 1970",Tres estilos alfareros sucesivos en Buga (Cauca).,213,C-14,Carbón,1100,140,Estrato IIIB,140-150,,,Yotoco,Más detalles en Bray y Moseley (1976).,FALSE,FALSE
Le 2466,620,Valles alto Calima y alto y medio del Cauca,Cabo de la Vela,,Cacicazgos,"Salgado, 1993",Investigaciones arqueológicas en el poblado prehispánico de Jiguales - Calima (Segunda Temporada).,53,C-14,Carbón,1330,40,,240,Tumba,,Sonso,"Reportes anteriores del sitio en Rodríguez y Bashilov (1987, 1988) y Salgado (1988). Tumba 3",FALSE,FALSE
M 0735,1960,Ecuador,La Tolita,,Cacicazgos,"Alcina, 1979",La Arqueología de Esmeraldas (Ecuador: Introducción general),109,C-14,,-10,60,,,,,Tolita,"No hay datos específicos sobre los contextos de CSIC 244, 245 y M 735 (Estrada, 1962: 61; Alcina Franch, 1979:10; Valdez, 1987:54).",FALSE,FALSE
M 1167,798,Costa Pacífica,Minguimalo,,Cacicazgos,"Reichel-Dolmatoff & Dussan, 1962",Investigaciones arqueológicas en la costa Pacífica II. Una secuencia cultural del bajo río San Juán.,56,C-14,Carbón,1152,150,,90,,,Complejo Minguimalo,Corte I. Herrera (1989:150) reporta una fecha de 710 +-75/1240 d.C. con el mismo número de laboratorio citando como fuente Radiocarbon Vol.5:246-247.,TRUE,FALSE
M 1168,1118,Costa Pacífica,Minguimalo,,Cacicazgos,"Reichel-Dolmatoff & Alicia, 1962",Investigaciones arqueológicas en la costa Pacífica II. Una secuencia cultural del bajo río San Juán.,56,C-14,Carbón,832,150,,185,,,Minguimalo,"Con el mismo N° de Lab. Herrera (1989:150) y  Reichel (1986:229) dan una fecha de 1130+/-75 AP, el primero cita como fuente a Reichel G. y Alicia (1962) y el segundo a Radiocarbon vol.5:246-247. Corte I",TRUE,FALSE
