Autor,Título,Año,Publicado,Editado,Publicación internacional,Sitios,Tema,Período,Etapa,Región,Asunto,Tipo de proyecto,Comentario,Requerido
"Enciso, Braida & Hildur Zea",Registro de colecciones arqueológicas y etnográficas.,0,,TRUE,FALSE,,Patrimonio,,,,,Rescate arqueológico,,FALSE
"Londoño, Eduardo",Relación de una conquista prehispánica Muisca y nuevas noticias sobre el Zaque de Tunja.,1984,,FALSE,FALSE,,Etnohistoria,Muisca tardio,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Silva, Eliécer","Relación preliminar de las investigaciones arqueológicas realizadas en La Belleza, Santander.",1946,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Montaña Santandereana,,Investigación básica,,FALSE
"Angulo, Carlos",Relaciones de intercambio entre tres regiones arquelógicas del Norte de Colombia.,1985,,TRUE,TRUE,,Síntesis datos,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Gnecco, Cristóbal",Relaciones de intercambio y bienes de elite entre los Cacicazgos del surocciente de Colombia.,1996,,TRUE,TRUE,,Materiales Arqueológicos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Langebaek, Carl",Relaciones de los desarrollos del área Tairona y el intercambio.,1987,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Sierra Nevada,,Investigación básica,,FALSE
"Stemper David, Héctor Salgado &David Scott","Relaciones entre la metalurgia, la agricultura intensiva y la política prehispánica y colonial en el Sur occidente de Colombia.",0,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,Orfebreria,Investigación básica,,FALSE
"Botero, Pedro",Relaciones entre las ciencias de la tierra y la arqueología.,2001,,TRUE,FALSE,,Teoría arqueológica/Métodos,,,,,Investigación básica,,FALSE
"Herrera, Leonor",Relaciones entre ocupaciones prehispánicas y suelos negros en la cuenca del río Caquetá en Colombia.,1981,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Uribe, María Victoria","Relaciones prehispánicas entre la costa del pacífico y el altiplano nariñense, Colombia.",1976,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Macizo Andino del sur,,Investigación básica,,FALSE
"Morcote, Gaspar & Rodrígo Bernal",Remains of Palms (palmae) at Archaeological Sites in the New World: A Review.,2001,,TRUE,FALSE,,Materiales Arqueológicos,,,,Paleobotánica Palmas,,,FALSE
"Rodríguez, Dalvard Dominique","Renovación del Museo. Nuevos discursos, nuevas preguntas, nuevas necesidades pedagogicas, nuevos servicios.",0,,FALSE,FALSE,,Materiales Arqueológicos,,,,Museografía,Divulgación,,FALSE
"Piperno, Dolores, R.","Report on phytoliths from the site of Peña Roja, Western Amazon basin.",1999,,FALSE,FALSE,Peña Roja,Materiales Arqueológicos,,Paleoindio,Tierras bajas orientales,Fitolitos,Investigación básica,,FALSE
"Bray, Warwick; Leonor Herrera & Marianne Cardale",Report on the 1980 field season in Calima.,1981,,TRUE,TRUE,La Virginia; Montañitas; La Iberia; Cortijo de los Calimas; Tres Esquinas; La Alsacia; La Aurora;,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bray, Warwick; Leonor Herrera & Marianne Cardale",Report on the 1981 field season in Calima.,1983,,TRUE,TRUE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bray, Warwick; Leonor Herrera & Marianne Cardale",Report on the 1982 field season in Calima.,1985,,TRUE,TRUE,El Dorado,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Bray, Warwick; Leonor Herrera & Marianne Cardale",Report on the 1984 field season in Calima.,1987,,TRUE,TRUE,"Ceilán, El Topacio,El Recreo, Sauzalito, Altamira, El Billar, El Dorado",Arqueología sitio/localidad,"Sonso, Ilama",Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Castaño, Carlos",Reporte de un yacimiento arqueológico Quimbaya Clasico en el valle del Magdalena: Contribución al conocimiento de un contexto regional.,1988,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
Ingetec S.A. Ingenieros consultores,Reposición del poliducto del pacífico entre el sitio El Gallinero y el corregimiento de Mulaló. Monitoreo arqueológico. Informe final.,1997,,FALSE,FALSE,Atuncela II; La Cabaña 1,Arqueología sitio/localidad,,Cacicazgos,,,Rescate arqueológico,Información Erigaie.,FALSE
"De La Cruz, Marta Lucía","Represión religiosa en el altiplano Cundiboyacense  durante la colonia, estudio preliminar.",1984,,FALSE,FALSE,,Etnohistoria,,Colonial,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Alzate, Luz Adriana",Rescatando la Colección Lítica del Museo Universitario de la Universidad de Antioquia.,1999,,FALSE,FALSE,,Materiales Arqueológicos,,,,,Rescate arqueológico,,FALSE
"Santos, Gustavo",Rescate arqueológico de la variante San José del Nus-estación Cisneros-poliducto Sebastopol-Medellín. Sociedades agroalfareras prehispánicas del valle del río Nus.,1996,,FALSE,FALSE,El Porvenir-Yacimiento 03; La Herradura-Yacimiento 27;La laguna-Yacimiento 23; Majagual-Yacimiento 39; Villa Lucero-Yacimiento 12,Arqueología sitio/localidad,,Cacicazgos,,,Rescate arqueológico,Información Erigaie.,FALSE
"Botiva, Alvaro",Rescate arqueológico en Campo Dina (Neiva - Huila).,1981,,FALSE,FALSE,,Arqueología sitio/localidad,,,Alto Magdalena,,Rescate arqueológico,,FALSE
"Alarcón, Jorge A. & L. A. Segura",Rescate arqueológico en el municipio de Aguazul-Casanare.,1989,,FALSE,FALSE,Aguazul CC2,Arqueología sitio/localidad,,,Tierras bajas orientales,,Rescate arqueológico,Referencia Erigaie,FALSE
"Gómez G., Alba N. & J.H. Bacca.",Rescate arqueológico en el municipio de La Dorada (Caldas).,1996,,TRUE,FALSE,Pipintá II,Arqueología sitio/localidad,,,Magdalena medio,,Rescate arqueológico,(Publicado en agosto de 1998.,FALSE
"Alarcón, Jorge A.",Rescate arqueológico en el valle alto del río Dagua.,1995,,TRUE,FALSE,Atuncela II,Arqueología sitio/localidad,,Cacicazgos,,,Rescate arqueológico,Hace falta número de páginas.,FALSE
"Salgado, Hector",Rescate arqueológico en los municipios de Montenegro (Quindío) y Bugalagrande (Valle del Cauca).,1997,,FALSE,FALSE,Montenegro-Finca Chapinero;,Arqueología sitio/localidad,,,Valles alto Calima y alto y medio del Cauca,,Rescate arqueológico,,FALSE
"Rodríguez, Carlos Armando",Rescate arqueológico en los sitios PK 185 y PK 185+600 ubicados en la troncal del gasoducto de occidente.,1996,,FALSE,FALSE,Potrero Chico-PK 185; Potrero Chico-PK 185+600,Arqueología sitio/localidad,,,Valles alto Calima y alto y medio del Cauca,,Rescate arqueológico,,FALSE
"Rodríguez, Carlos Armando",Rescate Arqueológico en los sitios PK 187+400 ubicado en la Troncal del Gasoducto de Occidente.,1996,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Rescate arqueológico,,FALSE
"Rodríguez, Carlos Armando",Rescate arqueológico en los sitios Pk 276+700 y Pk 321+400 ubicados en la troncal del gasoducto de occidente. Informe final.,1996,,FALSE,FALSE,San Pedro-PK276+700,Arqueología sitio/localidad,,,,,Rescate arqueológico,,FALSE
"Bernal, Fernando",Rescate Arqueológico Km 314 Gasoducto Ballena-Barrancabermeja.,1995,,FALSE,FALSE,,,,,,,Rescate arqueológico,,FALSE
"Bernal, Fernando",Rescate Arqueológico Km 425 + 500 Gasoducto Ballena-Barrancabermeja.,1996,,FALSE,FALSE,,,,,,,Rescate arqueológico,,FALSE
"Rodríguez, Camilo","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",1997,,FALSE,FALSE,"El Pomo-PK 7+200, Los Arrayanes Pk 91+150, Villamaría-Calda; Palmira-PK1+500",Arqueología sitio/localidad,,,Valles alto Calima y alto y medio del Cauca,,Rescate arqueológico,,FALSE
"Rodríguez, Camilo","Rescate arqueológico sitios Los Arrayanes, Villamaría-Caldas y El Pomo, Fresno-Tolima.",1997,,FALSE,FALSE,,,,,,,Rescate arqueológico,,FALSE
"Salgado, Héctor; Alba Gómez  & Judith Hernández",Rescate arqueológico. Subestación San Felipe - Tolima. Armero - Guayabal.,1997,,FALSE,FALSE,,Arqueología sitio/localidad,,,Magdalena medio,,Rescate arqueológico,,FALSE
"Botiva, Alvaro",Rescate de restos arqueológicos.,1983,,TRUE,FALSE,,Patrimonio,,,,,Rescate arqueológico,,FALSE
"Botiva, Alvaro",Rescate de restos arqueológicos. Cartilla de instrucciones.,1983,,TRUE,FALSE,,Patrimonio,,,,,Rescate arqueológico,,FALSE
"Rubiano Gracía, Ezequiel","Rescate y excavación del hallazgo de la terraza de las Banderas, predio base militar la Cristalina. Una terraza en el Putumayo con 3400 años de historia.",2015,,FALSE,FALSE,,Materiales Arqueológicos,,,Tierras bajas orientales,,Rescate arqueológico,,FALSE
"Langebaek, Carl  & Alejandro Dever",Rescate y Monitoreo arqueológico de la Línea A 220 KV Sabanalarga - Nueva Barranquilla (Atlántico),1999,,FALSE,FALSE,,Arqueología sitio/localidad,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Rescate arqueológico,Título incierto,FALSE
"Castillo, Neyla",Rescate y monitoreo arqueológico en el área del proyecto de la termoeléctrica La Sierra.,1997,,FALSE,FALSE,La Angostura-Yacimiento 4,Arqueología sitio/localidad,,Cacicazgos,,,Rescate arqueológico,,FALSE
"Mora, Santiago","Research, heritage, and conservation: the colombian case.",2001,,TRUE,FALSE,,Patrimonio,,,,,Política,,FALSE
"Ardila, Gerardo",Reseña a Arqueología de Colombia. Un texto introductorio.,1987,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,Síntesis arqueología de Colombia,FALSE
"Cárdenas, Felipe","Reseña a Arqueología de salvamento en la Vereda de Tajumbina, Municipio de la Cruz (Nariño).",1991,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Macizo Andino del sur,,Rescate arqueológico,,FALSE
"Therrien, Monika",Reseña a History of Latin American Archaeology.,1992,,TRUE,FALSE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Gómez, Luz Alba",Reseña a Investigaciones arqueológicas en el Magdalena medio. Cuenca del río Carare (Departamento de Santander),1990,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Boada, Ana María",Reseña a Pautas de asentamiento agustinianas en el noroccidente de Saladoblanco (Huila).,1990,,TRUE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Botiva, Alvaro",Reseña a Segunda campaña de investigaciones arqueológicas y prehistóricas en la región del Golfo de Urabá.,1982,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,"Uraba, alto Sinú",,Investigación básica,Sin número y sin página,FALSE
"Lehmann, Henry","Reseña a Tierradentro, archeologie et etnographie d'une contreé de la Colombie.",1959,,TRUE,TRUE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Vasco, Luis Guillermo",Reseña a:  Los Chamanes jaguares de San Agustín; escrito por Héctor Llanos.,1993,,FALSE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Botiva, Alvaro & Adriana Muñoz","Reseña a: Guerreros, beldades y curanderos. El enigma de los indios teguas. Escrito por Pedro Gustavo Huertas Ramírez.",1992,,FALSE,FALSE,,,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Therrien, Monika","Reseña a: La vivienda prehispánica calima; escrito por H. Salgado C.A. Rodríguez, V.A. Bashilov.",1992,,FALSE,FALSE,,,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Vasco, Luis Guillermo","Reseña a: San Agustín: arte, estructura y arqueología; escrito por César Augusto Velandia.",1993,,FALSE,FALSE,,Teoría arqueológica,,Cacicazgos,Alto Magdalena,Simbolismo,,,FALSE
"Muñoz, Adriana",Reseña a: Textiles de las culturas Muisca y Guane; escrito por Gladys Tavera y Carmen Urbina.,1993,,FALSE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,Textiles,Investigación básica,,FALSE
"Turbay, Luisa  F. &  Mauricio, Londoño",Reseña de un sitio arqueológico en el Magdalena medio: Puerto Serviez.,1975,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Rescate arqueológico,,FALSE
"Afanador, Claudia","Reseña etnohistórica del Valle de Atriz, Pasto.",1977,,FALSE,FALSE,,Etnohistoria,,Colonial,Macizo Andino del sur,,Investigación básica,,FALSE
"Botiva, Alvaro",Reseña sobre las investigaciones arqueológicas realizadas en el noroccidente colombiano y Darién panameño.,1986,,FALSE,FALSE,,Síntesis datos,,,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Cárdenas, Felipe","Reseña: Aguazuque: Evidencias de cazadores, recolectores y plantadores en la altiplanicie de la Cordillera Oriental.",1990,,TRUE,FALSE,Aguazuque,Arqueología sitio/localidad,,Formativo,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Rojas, Sneider & Fernando Montejo",Reseña: Arqueología de Rescate. Oleoducto Vasconia-Coveñas.,1994,,FALSE,FALSE,,Arqueología sitio/localidad,,,,,Rescate arqueológico,Publicado en Mayo 1997.,FALSE
"Flórez, Franz y Miguel Mackenzie",Reseña: Arqueología en le Bajo Magdalena: un estudio de los primeros agricultores del Caribe Colombiano.,2002,,TRUE,FALSE,,,,,Magdalena medio,,,,FALSE
"Gnecco, Cristóbal","Reseña: Ch. Nieuwenhuis. Traces on tropical tools. A functional study of chert artefacts from preceramic sites in Colombia, 2002.",2003,,TRUE,FALSE,,,,,,Reseña,Investigación básica,,FALSE
"Llanos, Héctor",Reseña: El alto sinu: 17 siglos de asentamiento ribereño.,1988,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,"Uraba, alto Sinú",,Rescate arqueológico,,FALSE
"Piazzini, Carlo Emilio",Reseña: Los Antiguos Pobladores del Valle Medio del Río Porce. Aproximación Inicial desde el Estudio Arqueológico del Proyecto Porce II. Por Neyla Castillo.,1999,,TRUE,FALSE,,,,Cacicazgos,Macizo Antioqueño,Reseña,Rescate arqueológico,,FALSE
"Langebaek, Carl Henrik & Carlo Emilio Piazzini & Alejandro Dever","Respuesta a la reseña sobre ""Arqueología y guerra en el Valle de Aburrá: estudio de cambios sociales en una región del noroccidente de Colombia"".",2003,,TRUE,FALSE,,,,Cacicazgos,Macizo Antioqueño,Reseña,,,FALSE
"Argüello, García Pedro María",Restauración y educación en el arte rupestre. Notas sobre un caso  Colombiano (Parque arqueológico de Facatativá) Comentario Por María Paula Álvarez.,0,,TRUE,FALSE,,Materiales Arqueológicos,,,Altiplano Cundiboyacense,Arte rupestre,Investigación básica,,FALSE
"Rodríguez, Pedro & Germán Peña","Restos de peces en el sitio arqueológico de as Brisas, magdalena (Colombia).",2001,,TRUE,FALSE,,Materiales Arqueológicos,,,Altiplano Cundiboyacense,Zooarqueología,Investigación básica,,FALSE
"Méndez, D. & A. Escobar",Restos óseos y vegetales en un sitio de la cuenca baja del río La Miel.,2000,,FALSE,FALSE,,Materiales Arqueológicos,,,Magdalena medio,,Investigación básica,,FALSE
"Paepe, Paul & Marianne, Cardale",Resultados de un estudio petrologico de cerámicas del período Herrera provenientes de la Sabana de Bogotá y sus implicaciones arqueológicas.,1990,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
Cardale Marianne,Resultados de un estudio petrológico de cerámicas del periodo Herrera provenientes de la sabana de Bogotá y sus implicaciones arqueológicas.,2003,,TRUE,FALSE,,Materiales Arqueológicos,Herrera,Formativo,Altiplano Cundiboyacense,Analisis cerámico,Investigación básica,,FALSE
"Myers, Thomas,  G. Brouillard & Sara, Hunter","Resultados preliminares de las investigaciones arqueológicas de la universidad de Indiana en Colombia, (1972).",1974,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Mora, Santiago & Inés Cavelier","Resultados preliminares de una prospección en el pie de monte Llanero, Departamento del Meta.",1987,,TRUE,FALSE,Acacías,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Reichel, Elizabeth","Resultados preliminares del reconocimiento del sitio arqueológico de La Pedrera (Comisaría del Amazonas, Colombia).",1976,,TRUE,FALSE,La Pedrera,Arqueología sitio/localidad,,Cacicazgos,Tierras bajas orientales,,Investigación básica,,FALSE
"Correal, Gonzalo & Thomas Van der Hammen","Resúmen de los resultados de un prospección arqueológica en la cueva de los Guacharos, Departamento del Huila.",1988,,TRUE,FALSE,,Arqueología sitio/localidad,,Paleoindio,Alto Magdalena,,Investigación básica,,FALSE
"Baquero, Alvaro & Elizabeth Marquez",Resúmen de los trabajos arqueológicos en los Llanos Orientales colombianos.,1984,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Tierras bajas orientales,,Investigación básica,Empleando una perspectiva difusionista resúme los trabajos arqueológicos efectuados hasta el año de 1982.,FALSE
"Angulo, Carlos",Revisión de la arqueología del Caribe colombiano,1988,,TRUE,FALSE,,Síntesis datos,,,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Pinto, María, Herly Zúñiga & Olga María Torres",Revisión del Género Cavia en el Registro Arqueológico Colombiano.,2001,,FALSE,FALSE,,Materiales Arqueológicos,,,,Zooarqueología,Investigación básica,,FALSE
"Muttillo, Brunella Giuseppe Lemboa, Ettore Rufoa, Carlo Peretto & Roberto Lleras Pérez","Revisiting the oldest known lithic assemblages of Colombia: A review of data from El Abra and Tibitó (Cundiboyacense Plateau, Eastern Cordillera, Colombia).",2017,,FALSE,TRUE,,Materiales Arqueológicos,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Mora, Santiago",Revista Colombiana de Antropología 43: 157-196. Bogotá- Colombia.,2007,,TRUE,FALSE,,Historia de la...,,,,,Investigación básica,,FALSE
"West, Robert","Ridge or ""era"" agriculture in the colombian Andes.",1969,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,,Agricultura - Campos elevados,Investigación básica,,FALSE
Cardale Marianne; Leonor Herrera; Carlos Armando Rodríguez; Yolanda Jaramillo,Rito y ceremonia en Malagana.,1999,,FALSE,FALSE,,,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Correa, Francois",Ritos de sacrificio e iniciación entre los muiscas. Simbología política en el norte de los Andes.,2005,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación basica,,FALSE
"Oyuela-Caycedo, Augusto","Rocks versus clay. The Evolution of pottery technology in the case of San Jacinto 1, Colombia.",0,,TRUE,TRUE,San Jacinto,Materiales Arqueológicos,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Oyuela, Augusto; Renee Bonzani & Jaime Castro",Rocks Vs Clay: the evolution of pottery technology in the case of San Jacinto 1 (Colombia),1993,,FALSE,FALSE,San Jacinto,Arqueología sitio/localidad,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"López, M. Tiberio",Ruinas arqueológicas de Canoas.,1946,,TRUE,FALSE,,Arqueología sitio/localidad,,,,,Investigación básica,,FALSE
"Realpe, Alfonso",Rutas de poblamiento y zonas de vida entre los valles interandinos de los ríos Magdalena y Porce - Nechí.,1999,,FALSE,FALSE,,,,,Magdalena medio,,Investigación básica,,FALSE
"Keyeux, Genoveva, William Usaquén","Rutas migratorias hacia Sur América y poblamiento de las cuencas de los rios Amazonas y Orinoco, deducidas a partir de estudios geneticos moleculares.",2006,,TRUE,TRUE,,Síntesis datos,,Paleoindio,Tierras bajas orientales,"Ocupaciones tempranas, migración",Investigación basica,,FALSE
"Bouchard, Jean Francois",Sacrificios y chamanismo en la cultura Tumaco-La Tolita (Colombia-Ecuador).,2005,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Costa Pacífica,,Investigación basica,,FALSE
"Lleras, Roberto",Sacrifico y ofrenda entre los Muiscas.,2005,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación basica,,FALSE
"Cardale, Marianne",Salt production in the eastern cordillera of Colombia before and after the spanish conquest. A preliminary survey.,1976,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Gómez Mejía, Juliana","Salud, estrés y adaptación en poblaciones precerámicas de la Sabana de Bogotá",2011,,FALSE,FALSE,,Materiales Arqueológicos,,Paleoindio,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Vargas, Arturo","Salvamento arqueológico en Bucaramanga, Santander.",1983,,FALSE,FALSE,,Arqueología sitio/localidad,,,Montaña Santandereana,,Rescate arqueológico,,FALSE
"Chaves, Alvaro & Gilberto Cadavid",Salvamento arqueológico en Cañaveral Curití - Santander (1983-1984).,1984,,FALSE,FALSE,,Arqueología sitio/localidad,,,Montaña Santandereana,,Rescate arqueológico,,FALSE
"Barney Cabrera, Eugenio","San Agustín, centro religioso y artistico.",1983,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Divulgación historia del arte,Visión desde la historia del arte de la iconografía prehispánica.,FALSE
"Barney Cabrera, Eugenio","San Agustín, un pueblo de escultores.",1983,,TRUE,FALSE,,Materiales Arqueológicos,,Cacicazgos,Alto Magdalena,,Divulgación historia del arte,Visión desde la historia del arte de la iconografía prehispánica.,FALSE
"Lleras, Roberto",San Agustín.,1990,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Duque, Luís",San Agustín. Visión de conjunto de una labor investigativa.,1994,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Reichel-Dolmatoff, Gerardo",San Agustín: a culture of Colombia.,1972,,TRUE,TRUE,"Mesita A, B y C",Arqueología sitio/localidad,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Velandia, César","San Agustín: Arte, estructura y arqueología. Modelo para una semiótica de la iconografía precolombina.",1994,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Sanz, Fernando",San Agustín: Enigmáticas imágenes de una cultura preincaica.,1970,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Divulgación historia del arte,,FALSE
"Duque, Luís",San Agustín: reseña arqueológica.,1963,,TRUE,FALSE,,Síntesis datos,,Cacicazgos,Alto Magdalena,,Investigación básica,,FALSE
"Gnecco, Cristóbal",San Isidro: a late-Pleistocene/early-Holocene site in Colombia.,1995,,TRUE,TRUE,"Orono, ISSN 8755-898X",Arqueología sitio/localidad,,Paleoindio,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Oyuela-Caycedo, Augusto  & Renée M. Bonzani","San Jacinto 1: ecología histórica, orígenes de la cerámica e inicios de la vida sedentaria en el Caribe colombiano",2014,,TRUE,FALSE,,Arqueología sitio/localidad,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"O'neil, Dennis",San Jorge a late terraced site on the sabana de Bogotá Colombia.,1972,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Rodríguez, Carlos Armando",San Luis: un asentamiento temprano de la cultura Sonso en la llanura aluvial del Pacífico.,1988,,TRUE,FALSE,San Luís,Arqueología sitio/localidad,Sonso,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Sarcina, Alberto","Santa María de la Antigua del Darién, la primera ciudad española en Tierra Firme: una prospección arqueológica sistemática",2017,,FALSE,FALSE,,Arqueología sitio/localidad,,Colonial,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Arcila, Graciliano",Santa María de la Antigua del Darién.,1986,,TRUE,FALSE,,Arqueología sitio/localidad,,Colonial,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Langebaek, Carl","Santuarios indígenas en el repartimiento de Iguaque, Boyáca. Un documento de 1595 del Archivo Histórico Nacional de Colombia (transcripción).",1988,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Londoño, Eduardo","Santuarios, santillos, tunjos: objetos votivos de los Muiscas en el siglo XVI.",1989,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Altiplano Cundiboyacense,,Investigación básica,,FALSE
"Bray, Warwick",Searching for environmental stress: climatic and anthropogenic influences on the landscape of Colombia.,1995,,TRUE,TRUE,,Teoría arqueológica,,,,,Investigación básica,,FALSE
"Oyuela-Caicedo, Agusto","Seasonality in the Tropical Lowlands of Northwestern South America: The Case of San Jacinto 1, Colombia.",1998,,TRUE,TRUE,San Jacinyo,Materiales Arqueológicos,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Proyecto investigación,,FALSE
"Arciniegas, Germán, Clemencia Plazas & Jaime Echeverri","Secrets of El Dorado, Colombia.",1990,,TRUE,FALSE,,,,,,,Investigación básica,,FALSE
"Illera, Carlos","Secuencia arqueológica del municipio de Calima, El Darién, valle y su relación con las culturas de las áreas vecinas.",1978,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Castaño, Carlos &  Carmen, Davila",Secuencias y correlaciones arqueológicas en el curso bajo del Río la Miel.,1984,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Magdalena medio,,Investigación básica,,FALSE
"Langebaek, Carl H.",Secuencias y procesos. Estudio comparativo del desarrollo de jerarquías de asentamiento prehispánicas en el norte de Suramérica.,2004,,TRUE,TRUE,,Síntesis datos,,Cacicazgos,Sierra Nevada,,Investigación basica,Comparación conjuntos arqueológicos con Venezuela.,FALSE
"Oyuela, Augusto","Sedentism, food production and pottery origins in the tropics: the case of San Jacinto I, Colombia.",1993,,FALSE,FALSE,San Jacinto I y II,Teoría arqueológica,,Formativo,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,Investigación básica,,FALSE
"Santos, Gustavo et al.,",Segunda campaña de investigaciones arqueológicas y prehistóricas en la región del golfo de Urabá.,1983,,FALSE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,"Uraba, alto Sinú",,Investigación básica,,FALSE
"Castaño, Carlos",Selva y hombre tradicional.,1990,,TRUE,FALSE,,Teoría arqueológica,,,,,Divulgación,,FALSE
"Trimborn, Hermann",Señorio y barbarie en el Valle del Cauca.,1949,,TRUE,FALSE,,Arqueología sitio/localidad,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Trimborn, Herman",Señorío y Barbarie en el Valle del Cauca.,2005,,TRUE,FALSE,,Etnohistoria,,Cacicazgos,Valles alto Calima y alto y medio del Cauca,,Investigación básica,,FALSE
"Rochereau, Pere",Sepulturas indígenas.,1920,,TRUE,FALSE,,Materiales Arqueológicos,,,,,Investigación básica,,FALSE
